"Record_Index";"Message_ID";"IMEI";"Date_F";"Time_F";"Project_Version";"ID_Number";"Panel1_bv";"Panel2_bv";"Bridge1_dcv";"Bridge2_dcv";"Bridge1_dcc";"Bridge2_dcc";"Panel_dc1kw";"Panel2_dc1kw";"Status";"Panel_dctotalkw";"R_vol";"Y_vol";"B_vol";"R_curr";"Y_curr";"B_curr";"Frequency";"Phase1_kw";"Phase1_kvar";"Phase1_kva";"Phase2_kw";"Phase2_kvar";"Phase2_kva";"Phase3_kw";"Phase3_kvar";"Phase3_kva";"Bridge11_temp";"Bridge12_temp";"Bridge13_temp";"Bridge21_temp";"Bridge22_temp";"Bridge23_temp";"Cabinet1_temp";"Cabinet2_temp";"Cabinet3_temp";"Inductive1_temp";"Inductive2_temp";"Ambient_temp";"CCU_temp";"Coolingin_temp";"Coolingout_temp";"Active1_energy";"Active2_energy";"Activetotal_energy";"DC1_energy";"DC2_energy";"DCtotal_energy";"Reactive1_energy";"Reactive2_energy";"Reactivetotal_energy";"Capacitive1_energy";"Capacitive2_energy";"Capacitivetotal_energy";"SCB1";"SCB2";"SCB3";"SCB4";"SCB5";"SCB6";"SCB7";"SCB8";"SCB9";"SCB10";"Dummy9";"Dummy10";"Dummy11";"Dummy12";"Dummy13";"Dummy14";"Dummy15";"Dummy16";"Dummy17";"Dummy18";"Dummy19";"Dummy20";"Dummy21";"Dummy22";"Dummy23";"Date_S";"Time_S"
16;"WTWMD";862265073105518;"2026-05-21";"15:50:18";"WTS";"S00001";8.3;1074.3;6.8;"2026-05-21";"15:50:09";508.7;60.5;693.0;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;213.4;0.8;49.6;36.9;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;119.8;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;57.0;44.7;35;68;79;72;51;67;0;51;48;42;0;0;0;0;0;0;67;67;39;44;49;35;"49.0";"61.0";"75.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:25:22"
17;"WTWMD";862265073105518;"2026-05-21";"15:50:51";"WTS";"S00001";8.2;1058.9;7.2;"2026-05-21";"15:50:43";709.9;1.6;693.5;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;206.8;0.9;49.6;40.8;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;127.7;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;57.0;44.0;35;68;79;72;51;67;0;51;50;43;0;0;0;0;0;0;67;67;39;44;49;35;"50.0";"66.0";"75.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:25:45"
18;"WTWMD";862265073105518;"2026-05-21";"15:51:18";"WTS";"S00001";9.4;1228.9;4.0;"2026-05-21";"15:51:09";557.9;2.7;692.1;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;202.4;1.7;49.6;44.6;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;132.4;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;63.0;51.0;57.0;44.7;35;68;79;72;51;63;0;51;51;44;0;0;0;0;0;0;67;67;39;44;49;35;"50.0";"67.0";"59.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:26:16"
19;"WTWMD";862265073105518;"2026-05-21";"15:51:48";"WTS";"S00001";8.2;1083.8;3.6;"2026-05-21";"15:51:39";406.0;6.8;691.1;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;216.8;0.6;49.6;47.7;11.0;231.3;1235.5;49.2;23.6;210.4;5163.0;134.4;12.3;301.4;1685.1;176.6;25.3;270.3;6204.3;58.0;63.0;51.0;56.0;44.1;36;68;79;72;51;63;0;51;52;44;0;0;0;0;0;0;67;67;39;45;49;36;"50.0";"69.0";"61.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:26:39"
20;"WTWMD";862265073105518;"2026-05-21";"15:52:18";"WTS";"S00001";8.9;1053.5;5.1;"2026-05-21";"15:52:09";405.3;0.5;690.9;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;210.4;0.4;49.6;50.6;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;139.4;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;63.9;51.0;56.0;44.6;35;69;79;72;51;63;0;51;52;45;0;0;0;0;0;0;67;67;39;45;49;35;"50.0";"69.9";"65.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:27:11"
21;"WTWMD";862265073105518;"2026-05-21";"15:53:18";"WTS";"S00001";8.1;1052.6;4.3;"2026-05-21";"15:53:09";147.1;0.0;690.1;"RUN";99999.9;999.99;454.0;695.0;694.0;671.0;65.0;99.99;200.2;1.5;49.4;55.9;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;147.7;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;63.0;51.0;56.0;44.9;35;69;79;72;51;66;0;51;53;46;0;0;0;0;0;0;69;69;39;45;49;35;"50.0";"67.0";"61.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:28:22"
22;"WTWMD";862265073105518;"2026-05-21";"15:53:51";"WTS";"S00001";8.2;1047.1;2.1;"2026-05-21";"15:53:43";10.1;23.6;688.8;"RUN";99999.9;999.99;454.0;695.0;694.0;671.0;65.0;99.99;210.2;3.2;49.2;57.1;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;148.4;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;59.0;63.9;51.0;56.0;44.9;36;69;79;72;51;67;0;51;53;46;0;0;0;0;0;0;68;68;39;45;49;36;"50.0";"63.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:28:45"
23;"WTWMD";862265073105518;"2026-05-21";"15:54:18";"WTS";"S00001";8.1;1049.2;2.2;"2026-05-21";"15:54:09";40.4;34.4;689.3;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;205.4;3.3;49.0;57.3;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;148.2;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;59.0;63.0;51.0;56.0;44.9;36;69;79;72;51;66;0;51;53;46;0;0;0;0;0;0;68;68;39;45;49;36;"50.0";"70.9";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:29:16"
24;"WTWMD";862265073105518;"2026-05-21";"15:54:48";"WTS";"S00001";8.1;1039.5;2.3;"2026-05-21";"15:54:39";0.8;58.0;688.2;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;200.7;3.5;49.0;57.3;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;148.2;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;63.9;51.0;56.0;44.8;36;69;79;72;51;66;0;51;53;46;0;0;0;0;0;0;68;68;39;45;49;36;"50.0";"66.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:29:38"
25;"WTWMD";862265073105518;"2026-05-21";"15:55:18";"WTS";"S00001";7.7;977.5;3.3;"2026-05-21";"15:55:09";0.3;0.0;688.5;"RUN";490.0;490.0;454.0;695.0;694.0;671.0;65.0;99.99;214.3;2.7;49.1;57.3;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;148.9;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;63.0;51.0;56.0;44.7;35;69;79;73;51;66;0;51;52;45;0;0;0;0;0;0;68;68;39;45;49;35;"50.0";"66.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:30:12"
26;"WTWMD";862265073105518;"2026-05-21";"15:55:48";"WTS";"S00001";7.2;926.4;3.9;"2026-05-21";"15:55:40";0.7;0.0;689.3;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;208.3;3.0;49.2;57.3;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;149.3;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;56.0;44.8;36;68;79;72;51;66;0;51;52;44;0;0;0;0;0;0;69;69;39;45;49;36;"50.0";"66.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:30:39"
27;"WTWMD";862265073105518;"2026-05-21";"15:56:00";"WTS";"S00001";7.2;910.6;3.9;"2026-05-21";"15:56:11";0.6;26.0;689.5;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;201.5;3.0;49.1;57.3;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;149.6;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;56.0;44.6;35;68;79;73;51;66;0;51;51;43;0;0;0;0;0;0;69;69;39;45;49;35;"50.0";"66.0";"66.9";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:31:17"
28;"WTWMD";862265073105518;"2026-05-21";"15:56:48";"WTS";"S00001";7.6;976.6;4.4;"2026-05-21";"15:56:40";522.9;59.0;693.9;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;213.3;2.3;49.3;57.5;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;151.5;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;62.0;51.0;56.0;44.9;35;68;79;73;51;66;0;51;50;43;0;0;0;0;0;0;69;69;39;45;49;35;"50.0";"63.0";"74.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:31:53"
29;"WTWMD";862265073105518;"2026-05-21";"15:57:21";"WTS";"S00001";8.2;1062.7;6.9;"2026-05-21";"15:57:13";789.5;24.8;696.9;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;205.5;1.4;49.4;60.6;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;156.3;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;58.0;63.0;51.0;56.0;47.7;35;68;79;73;51;66;0;51;50;43;0;0;0;0;0;0;69;69;39;45;49;35;"51.0";"69.0";"64.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:32:15"
30;"WTWMD";862265073105518;"2026-05-21";"15:58:21";"WTS";"S00001";10.2;1316.2;5.3;"2026-05-21";"15:58:13";891.9;39.5;696.6;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;215.1;0.5;49.1;72.2;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;168.5;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;59.0;64.9;51.0;56.0;47.2;35;68;79;73;50;62;0;51;51;45;0;0;0;0;0;0;69;69;39;45;49;35;"51.0";"67.0";"74.9";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:33:19"
31;"WTWMD";862265073105518;"2026-05-21";"15:58:48";"WTS";"S00001";10.2;1328.8;5.3;"2026-05-21";"15:58:40";667.4;0.2;694.9;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;210.0;0.2;49.2;77.5;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;171.8;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;59.0;65.0;51.0;56.0;47.5;35;68;79;73;50;63;0;51;52;45;0;0;0;0;0;0;69;69;39;45;49;35;"51.0";"70.9";"60.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:33:41"
32;"WTWMD";862265073105518;"2026-05-21";"15:59:18";"WTS";"S00001";9.4;1167.2;4.9;"2026-05-21";"15:59:10";429.1;1.6;694.9;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;204.7;0.2;49.3;81.8;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;174.6;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;59.0;65.9;51.0;56.0;47.7;35;68;79;73;50;64;0;51;52;46;0;0;0;0;0;0;68;68;39;45;49;35;"51.0";"68.0";"66.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:34:09"
33;"WTWMD";862265073105518;"2026-05-21";"15:59:30";"WTS";"S00001";8.2;1053.5;3.4;"2026-05-21";"15:59:41";360.0;13.5;694.4;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;209.4;0.9;49.4;85.0;11.0;231.4;1235.5;49.2;23.6;210.4;5163.0;177.3;12.4;301.4;1685.7;176.6;25.3;270.3;6204.3;59.0;65.0;51.0;56.0;47.5;35;68;80;72;50;66;0;51;53;46;0;0;0;0;0;0;68;68;39;45;49;35;"51.0";"64.0";"76.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:34:47"
34;"WTWMD";862265073105518;"2026-05-21";"16:00:18";"WTS";"S00001";8.2;1049.1;4.0;"2026-05-21";"16:00:10";496.4;63.8;696.9;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;214.2;0.8;49.7;1.3;11.0;231.4;1235.5;86.0;23.6;210.4;5163.0;1.5;12.4;301.4;1685.7;177.7;25.3;270.3;6204.3;59.0;64.0;51.0;56.0;47.5;35;68;80;72;50;67;0;51;53;46;0;0;0;0;0;0;68;68;39;45;49;35;"51.0";"71.9";"59.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:35:23"
35;"WTWMD";862265073105518;"2026-05-21";"16:00:51";"WTS";"S00001";8.2;1056.5;6.2;"2026-05-21";"16:00:43";664.8;45.2;699.5;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;207.7;0.3;50.1;5.4;11.0;231.4;1235.5;86.0;23.6;210.4;5163.0;6.5;12.4;301.4;1685.7;177.7;25.3;270.3;6204.3;59.0;65.0;51.0;56.0;47.9;35;68;80;72;50;63;0;51;54;46;0;0;0;0;0;0;69;69;39;45;49;35;"51.0";"69.9";"70.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:35:45"
36;"WTWMD";862265073105518;"2026-05-21";"16:01:18";"WTS";"S00001";9.3;1185.7;5.1;"2026-05-21";"16:01:10";701.0;2.3;699.2;"RUN";490.0;490.0;455.0;695.0;694.0;671.0;65.0;99.99;203.3;0.2;50.2;8.8;11.0;231.4;1235.5;86.0;23.6;210.4;5163.0;11.1;12.4;301.4;1685.7;177.7;25.3;270.3;6204.3;59.0;65.9;51.0;56.0;47.0;35;68;80;72;50;64;0;51;54;46;0;0;0;0;0;0;70;70;39;45;49;35;"51.0";"71.0";"70.0";"0.0";"79.9";"81460";"81420";"81172";"81137";"81051";"80520";"0";"67693";"79387";"67693";"2026-05-21";"03:36:16"
